search term,strain_name
freedom fighter,freedom fighter
forbidden fruit,forbidden fruit
free britney,freebritney
frankenstein,frankenstein
confidential,confidential
screwdriver,screwdriver
freebritney,freebritney
Clusterfunk,clusterfunk
Cake Batter,cake batter
slurricane,slurricane
motherland,motherland
granddaddy,granddaddy
girl scout,girl scout
CLEMENTINE,clementine
tarantula,tarantula
supernova,supernova
skywalker,skywalker
Professor,grofessor
pistachio,pistachio
ice cream,ice cream
grandaddy,granddaddy
crescendo,crescendo
Chocolope,chocolope
Chernobyl,chernobyl
champagne,champagne
Zkittlez,zkittlez
Zkittles,zkittlez
tropical,tropical
titanium,titanium
sherbert,sherbert
rockstar,rockstar
platinum,platinum
northern,northern
mountain,mountain
MERINGUE,meringue
MARACUJA,maracuja
klondike,klondike
insomnia,insomnia
horchata,horchata
guerilla,guerilla
gasoline,gasoline
do si do,do si dos
critical,critical
biscuits,biscuits
Biscotti,biscotti
bachelor,bachelor
wedding,wedding
thunder,thunder
slurbet,slurbet
slipper,slipper
sherbet,sherbet
scoobie,scoobie
rawberr,strawberry
rainbow,rainbow
moonbow,moonbow
monster,monster
miracle,miracle
martini,martini
kracken,kraken
jet lag,jetlag
iverson,iverson
gushers,gushers
gummies,gummies
gorilla,gorilla
gluuchi,gluuchi
glurple,glurple
genesis,genisis
gangsta,gangsta
escobar,escobar
diamond,diamond
crusher,crusher
cracker,craker
cookies,cookies
chemist,the chemist
chamber,chamber
blossum,blossum
berries,berries
bermuda,bermuda
baklava,baklava
apricot,apricot
zsweet,zsweet
zookie,zookies
wrench,wrench
wonder,wonder
vision,vision
velvet,velvet
trophy,trophy
tangie,tangie
surfer,surfer
sunset,sunset
sundae,sundae
snacks,snacks
si-dos,do si dos
si dos,do si dos
shower,shower
secret,secret
roller,roller
rocket,rocket
purple,purple
potato,potato
poison,poison
peanut,peanut
papaya,papaya
orange,orange
nectar,nectar
narnia,narnia
muffin,muffin
mother,mother
monkey,monkey
mojito,mojito
mimosa,mimosa
memory,memory
m.a.c.,m.a.c.
lights,lights
leeroy,leeroy
l.s.d.,lsd
kraken,kraken
jungle,jungle
jetlag,jetlag
jackie,jackie
helado,helado
hazard,hazard
hammer,hammer
grapes,grapes
golden,golden
genius,genius
Gelato,gelato
garlic,garlic
galaxy,galaxy
G.M.O.,gmo
family,family
Durban,durban
dragon,dragon
dosido,do si dos
dolato,dolato
diesel,diesel
cookie,cookies
citrus,citrus
churro,churro
cherry,cherry
cheese,cheese
charmz,charms
charms,charms
casava,casava
carbon,carbon
butter,butter
burger,burger
buddha,buddha
bubble,bubble
breath,breath
blanco,blanco
banner,banner
banana,banana
apollo,apollo
animal,animal
zweet,zweet
zoink,zoink
widow,widow
widow,widow
white,white
viper,viper
verde,verde
venom,venom
tutti,tutti
treat,treat
train,train
totem,totem
tonic,tonic
toast,toast
thotz,thotz
sweet,sweet
susan,susan
sugar,sugar
stone,stone
steel,steel
spell,spell
space,space
sonic,sonic
slurp,slurp
skunk,skunk
shade,shade
shack,shack
scien,scientist
sauce,sauce
samoa,samoa
runtz,runtz
royal,royal
robot,robot
queen,queen
punch,punch
penny,penny
pearl,pearl
peach,peach
party,party
Panda,panda
omega,omega
night,night
night,night
nasty,nasty
mouth,mouth
motor,motor
mintz,mintz
mints,mintz
Melon,melon
mango,mango
magic,magic
lucky,lucky
lemon,lemon
later,now n later
karma,karma
juice,juice
jelly,jelly
herer,herer
guice,guice
guava,guava
green,green
grape,grape
grace,grace
gooey,gooey
ghost,ghost
gello,gello
fuego,fuego
fruit,fruit
frost,frost
flush,flush
fetti,fetti
fatso,fatso
dutch,dutch
dream,dream
donut,donut
dirty,dirty
devil,devil
crush,crush
crunk,crunk
creme,creme
cream,cream
crash,crash
couch,couch
chili,chili
chapo,chapo
chaos,chaos
burro,burro
buddy,buddy
bubba,bubba
bruce,bruce
bride,bride
brain,brain
black,black
berry,berry
banjo,banjo
bacon,bacon
apple,apple
alien,alien
yoda,yoda
wife,wife
whip,whip
tree,tree
thai,thai
tart,tart
tape,tape
tang,tang
suzy,suzy
star,star
sour,sour
soul,soul
sofa,sofa
soap,soap
snow,snow
slow,slow
silk,silk
scou,scout
rude,rude
ruby,ruby
purp,purp
plum,plum
piss,piss
pink,pink
oreo,oreo
nite,night
neon,neon
moon,moon
mint,mint
milk,milk
maui,maui
loud,loud
lodi,lodi
lime,lime
lime,lime
lane,lane
kush,kush
king,king
jack,jack
head,head
haze,haze
gold,gold
goat,goat
glue,glue
girl,girl
funk,funk
fuel,fuel
foot,foot
food,food
fire,fire
ewok,ewok
duct,duct
dotz,dotz
deja,deja
dawg,dawg
czar,czar
cruz,cruz
cool,cool
chem,chem
cake,cake
boss,boss
bomb,bomb
boat,boat
blue,blue
bird,bird
bath,bath
baby,tit
azul,azul
afgh,afghan
acai,acai
zig,zig
zag,zag
web,web
tax,tax
sun,sun
rod,rod
red,red
pop,pop
pie,pie
mai,mai
mac,mac
mac,mac
lsd,lsd
kid,kid
kgb,kgb
jet,jet
ice,ice
hot,hot
gun,gun
god,god
gmo,gmo
GMO,gmo
gas,gas
eye,eye
bio,bio
atf,atf
ape,ape
og,og
j1,j1
c4,c4
ak,ak